id,job_id,event_type,from_state,to_state,message,technical_detail,occurred_at,actor_uid
71,47,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
72,47,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
73,48,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
74,48,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
75,49,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
76,49,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
77,50,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
78,50,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
79,51,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
80,51,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
81,52,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
82,52,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
83,53,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
84,53,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
85,54,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
86,54,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
87,55,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
88,55,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
89,56,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:14,1
90,56,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:14,1
91,37,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
92,37,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
93,38,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
94,38,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
95,39,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
96,39,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
97,40,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
98,40,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
99,41,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
100,41,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
101,42,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
102,42,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
103,43,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
104,43,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
105,44,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
106,44,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
107,45,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
108,45,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
109,46,attempt,queued,running,Dispatch attempt started.,,2026-07-11 22:28:19,1
110,46,attempt,running,succeeded,Dispatch succeeded.,,2026-07-11 22:28:19,1
