id,store_id,job_source,job_type,state,error_class,manual_review_subreason,retry_count,next_retry_at,started_at,finished_at,operation_scope_key,idempotency_key,cancel_reason,res_id
73,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:45:42,2026-07-11 22:45:42,,2|core_dispatch_selftest|pb.synthetic.model|8000|gid://pb/s8/8000|pb-s8-8000,,8000
74,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:45:42,2026-07-11 22:45:42,,2|core_dispatch_selftest|pb.synthetic.model|8001|gid://pb/s8/8001|pb-s8-8001,,8001
75,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:45:42,2026-07-11 22:45:42,,2|core_dispatch_selftest|pb.synthetic.model|8002|gid://pb/s8/8002|pb-s8-8002,,8002
76,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:45:42,2026-07-11 22:45:42,,2|core_dispatch_selftest|pb.synthetic.model|8003|gid://pb/s8/8003|pb-s8-8003,,8003
77,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:45:42,2026-07-11 22:45:42,,2|core_dispatch_selftest|pb.synthetic.model|8004|gid://pb/s8/8004|pb-s8-8004,,8004
78,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8005|gid://pb/s8/8005|pb-s8-8005,,8005
79,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8006|gid://pb/s8/8006|pb-s8-8006,,8006
80,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8007|gid://pb/s8/8007|pb-s8-8007,,8007
81,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8008|gid://pb/s8/8008|pb-s8-8008,,8008
82,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8009|gid://pb/s8/8009|pb-s8-8009,,8009
83,2,manual_sync,core_dispatch_selftest,succeeded,,,,,2026-07-11 22:46:27,2026-07-11 22:46:27,,2|core_dispatch_selftest|pb.synthetic.model|8010|gid://pb/s8/8010|pb-s8-8010,,8010
